zipcode_cluster,brewery_name,Brewery License,License Date,Status,brewery_in_production,brewery_id,brewery_address,brewery_city,brewery_state,brewery_zipcode,brewery_lat,brewery_lng,beer_count,rating_count,rating_score,age_on_service,neighboring_zips,checkins_total_count,checkins_unique_count,checkins_monthly_count,checkins_weekly_count
5,Batch Craft Beer & Kolaches,Brewpub,11/8/2016,Open,0,388953,3220 Manor Rd,Austin,TX,78722,30.2872,-97.7031,10,79,4.042,565.9180093,"7,872,378,721",102,67,45,2
3,Battlehops Brewing,Brewpub,3/1/2018,Open,0,433670,6801 Hwy Blvd,Katy,TX,77494,29.7855,-95.8376,16,152,3.793,146.139294,"7,749,377,450",191,104,15,0
5,Bear King Brewing Company,Brewery,11/28/2018,Open,0,421863,207 Ave. G,Marble Falls,TX,78654,30.5703,-98.2749,14,1405,3.67,261.1803009,"7,865,778,639",1637,594,194,0
4,Bearded Fox Brewing Company,Brewpub,8/22/2018,Open,0,181217,"11729 Spring Cypress Road, Suite R",Tomball,TX,77070,30.0123,-95.6031,18,5212,3.701,1742.85,"7,742,977,379",6858,2840,80,0
1,Beerfoot Beach Bar,Brewpub,8/9/2005,Open,0,46947,2828 Seawall Blvd,Galveston,TX,77550,29.2859,-94.7942,154,2289,3.52,2526.011308,"7,755,177,590",2739,1523,9,0
4,Big River Brewery,Brewpub,4/10/2017,Open,0,335433,505 W. Nolana Loop,Pharr,TX,78577,26.2339,-98.1832,34,2200,3.659,930.1547106,"7,853,978,501",2679,854,36,0
5,Big Texan Brewery,Brewpub,7/9/1997,Open,0,13187,7701 I-40 East,Amarillo,TX,79104,35.1935,-101.755,29,12865,3.382,3048.897986,"7,910,379,107",15351,5099,102,0
5,Bitter Sisters Brewing Company,Brewery,8/22/2014,Open,0,72194,15103 Surveyor Blvd,Addison,TX,75001,32.9618,-96.8292,41,25463,3.708,2301.093299,"7,524,875,254",34149,15218,412,10
1,Blackwater Draw Brewing Company,Brewpub,8/19/2015,Open,0,67349,701 N MAIN,Bryan,TX,77803,30.6795,-96.3723,136,17223,3.75,2286.941238,"7,780,177,802",24305,6386,135,12
4,Blazing Tree Brewery,Brewpub,7/12/2017,Open,0,352567,11426 Rojas Dr Ste A13,El Paso,TX,79907,31.7392,-106.318,62,2482,3.724,830.9956944,"7,993,679,935",2955,792,76,0
1,Blue Owl Brewing,Brewpub,5/29/2014,Open,0,165600,2400 East Cesar Chavez St. #300,Austin,TX,78702,30.2549,-97.7177,128,65764,3.736,1828.929664,"7,870,178,741",85387,29698,730,32
5,Blue Star Brewing Company,Brewpub,5/13/1996,Open,0,3062,"1414 South Alamo, Suite 105",San Antonio,TX,78204,29.4101,-98.4956,31,21269,3.413,3261.129097,"7,820,578,207",25951,8403,204,2
4,Bluebonnet Beer Company,Brewery,4/1/2014,Open,0,168065,1700 Bryant Drive Unit 107,Round Rock,TX,78664,30.4919,-97.647,51,5492,3.725,1814.867257,"7,866,578,728",7478,2378,43,0
2,Boerne Brewery,Brewpub,12/16/2016,Open,0,105991,9 Hill View Ln,Boerne,TX,78006,29.8068,-98.734,9,4730,3.378,2113.160127,"7,801,578,255",6006,3225,52,2
5,BrainDead Brewing,Brewpub,2/11/2015,Open,0,185850,2625 Main St,Dallas,TX,75226,32.7838,-96.7854,227,67430,3.717,1725.81103,"7,520,275,201",80962,22734,1008,6
1,Brash Brewing Company,Brewpub,2/24/2014,Open,0,34146,510 W Crosstimbers Rd,Houston,TX,77018,29.8281,-95.4061,50,124258,3.981,2668.387836,"7,702,277,008",180016,51256,1311,50
1,Bray’s Smoksehouse,Brewpub,9/17/2018,In the works,0,438226,"1500 S Brahma Blvd,",Kingsville,TX,78363,27.5028,-97.8555,5,24,0,113.9514931,"7,837,978,375",22,8,0,0
1,Brazos Valley Brewing,Brewpub,5/12/2015,Open,0,9508,201  W. First St.,Brenham,TX,77833,30.1647,-96.3987,79,50806,3.713,3157.347488,"7,893,177,835",66942,23097,792,78
1,Brews Brothers,Brewpub,5/16/2013,Open,0,52797,2404 Strand,Galveston,TX,77550,29.307,-94.7959,17,588,4.172,2468.816377,"7,755,177,590",739,365,0,0
4,Brewsome Brewery,Brewpub,11/19/2018,Open,0,424047,1303 N 10th St,McAllen,TX,78501,26.2154,-98.2282,15,413,3.047,238.0092361,"7,857,778,504",471,114,13,0
5,Brick Vault Brewery And BBQ,Brewpub,6/4/2018,Open,0,386390,103 1st St,Marathon,TX,79830,30.2052,-103.245,32,548,3.83,587.8891435,,647,212,22,0
5,Brotherwell Brewing,Brewery,11/9/2017,Open,0,185400,400 E Bridge St,Waco,TX,76704,31.5645,-97.1243,14,2398,3.676,594.0230208,"7,670,176,707",3080,1176,112,4
1,Brutal Beerworks,Brewpub,2/28/2019,Open,0,178427,8447 Boulevard 26,North Richland Hills,TX,76180,32.8343,-97.2289,58,3883,3.818,1764.89213,"7,614,876,117",4617,896,341,2
4,BS Brewing,Brewpub,2/6/2015,Open,0,426310,1408 Old Lehmann Rd,Seguin,TX,78155,29.6882,-97.9021,44,4921,3.691,2329.943472,"7,863,878,655",6735,3275,11,0
2,Buffalo Bayou Brewing,Brewery,9/24/2018,Open,0,15624,5301 Nolda Street,Houston,TX,77007,29.7762,-95.4159,189,177733,3.713,2989.872465,"7,700,877,019",244197,56695,2131,250
5,Bull Creek Brewing ,Brewery,3/12/2013,Open,0,208827,7100 FM 3405,Liberty Hill,TX,78642,30.7052,-97.8702,33,2710,3.644,1600.909838,"7,863,378,605",3529,1683,38,2
1,Busted Sandal Brewing,Brewpub,10/17/2016,Open,0,69502,7114 Oaklawn Drive,San Antonio,TX,78229,29.4997,-98.5558,93,24340,3.593,2263.180046,"7,820,178,213",33245,15778,231,22
3,By The Horns Brewing,Brewpub,10/31/2017,Open,0,420484,109 S. Main St. suite 200,Mansfield,TX,76063,32.5626,-97.1415,14,1235,3.623,274.9639005,"7,600,176,002",1454,502,64,0
5,Cactus Land Brewing Co.,Brewpub,6/3/2016,Open,0,167945,368 County Road 325,Adkins,TX,78101,29.2896,-98.2543,88,4266,3.967,1824.7864,"7,826,378,223",5186,936,140,0
5,Caracara Brewing Company ,Brewpub,7/26/2017,Open,0,381243,100 A E. Market St,Lockhart,TX,78644,29.8836,-97.672,16,806,3.664,634.9973958,"7,861,678,656",971,445,1,0
0,Cedar Creek Brewery,Brewpub,6/12/2014,Open,0,10537,336 E. Cedar Creek Pkwy,Seven Points,TX,75105,32.323,-96.2068,33,61038,3.672,3129.781609,"7,515,675,143",86750,38179,65,10
2,Celestial Beerworks,Brewpub,7/6/2018,Open,0,360425,2530 Butler St,Dallas,TX,75219,32.82,-96.8331,87,23271,4.121,732.1968403,"7,523,575,209",28893,5522,1955,56
4,Celis Brewery,Brewery,5/15/2017,Open,0,305923,10001 Metric Blvd,Austin,TX,78758,30.3797,-97.716,48,39291,3.643,1092.8964,"7,875,778,759",51904,24678,321,12
